index,Member,Party,State,Chamber,Raised,Spent,Cash on Hand,Debts
0,Abigail Spanberger,Democratic,Virginia,House,"$7,719,396","$7,449,678","$851,851",$0
1,Adam Kinzinger,Republican,Illinois,House,"$2,192,741","$1,243,502","$2,472,888",$0
2,Adam Schiff,Democratic,California,House,"$20,993,041","$13,957,854","$20,942,888",$0
3,Adam Smith,Democratic,Washington,House,"$1,211,111","$1,173,466","$623,472",$0
4,Adrian Smith,Republican,Nebraska,House,"$1,617,611","$1,664,674","$1,098,579",$0
5,Adriano Espaillat,Democratic,New York,House,"$1,178,693","$888,437","$392,705",$0
6,Al Green,Democratic,Texas,House,"$346,571","$289,586","$296,791","$50,000"
7,Al Lawson,Democratic,Florida,House,"$593,604","$522,650","$238,345",$0
8,Alan Lowenthal,Democratic,California,House,"$181,286","$288,295","$285,025",$0
9,Albio Sires,Democratic,New Jersey,House,"$204,340","$284,473","$128,200",$0
10,Alex Mooney,Republican,West Virginia,House,"$4,262,971","$5,856,816","$724,272",$0
11,Alex Padilla,Democratic,California,Senate,"$11,253,771","$3,870,947","$7,617,654","$5,703"
12,Alexandria Ocasio-Cortez,Democratic,New York,House,"$11,326,505","$9,411,406","$5,940,454",$0
13,Alma Adams,Democratic,North Carolina,House,"$838,536","$608,400","$576,809",$0
14,Aumua Amata Radewagen,Republican,American Samoa,Senate,"$54,700","$52,064","$3,153",$0
15,Ami Bera,Democratic,California,House,"$1,355,357","$1,143,120","$2,241,254","$172,800"
16,Amy Klobuchar,Democratic,Minnesota,Senate,"$3,234,766","$3,363,479","$1,122,953",$0
17,Andre Carson,Democratic,Indiana,House,"$725,565","$737,136","$976,598",$0
18,Andrew Clyde,Republican,Georgia,House,"$726,917","$666,629","$68,396","$1,262,363"
19,Andrew Garbarino,Republican,New York,House,"$3,184,656","$2,567,027","$749,483",$0
20,Andy Barr,Republican,Kentucky,House,"$3,447,266","$1,797,666","$2,004,303",$0
21,Andy Biggs,Republican,Arizona,House,"$1,761,000","$1,659,510","$752,537",$0
22,Andy Harris,Republican,Maryland,House,"$1,757,044","$1,253,968","$1,546,254",$0
23,Andy Kim,Democratic,New Jersey,House,"$6,069,123","$3,538,016","$3,082,941",$0
24,Andy Levin,Democratic,Michigan,House,"$2,586,972","$2,972,880","$42,569",$0
25,Angie Craig,Democratic,Minnesota,House,"$6,817,301","$4,821,652","$3,027,648",$0
26,Angus King,Independent,Maine,Senate,"$81,913","$180,532","$290,026",$0
27,Ann Kirkpatrick,Democratic,Arizona,House,$0,$0,$0,$0
28,Ann Kuster,Democratic,New Hampshire,House,"$3,873,628","$2,283,004","$2,663,709",$0
29,Ann Wagner,Republican,Missouri,House,"$4,331,508","$2,224,183","$2,220,767",$0
30,Anna Eshoo,Democratic,California,House,"$1,857,034","$1,735,758","$674,075",$0
31,Anthony Brown,Democratic,Maryland,House,"$448,866","$493,986","$1,072,214",$0
32,Anthony Gonzalez,Republican,Ohio,House,"$778,998","$608,730","$735,203",$0
33,Ashley Hinson,Republican,Iowa,House,"$6,446,790","$4,880,484","$1,682,977",$0
34,August Pfluger,Republican,Texas,House,"$2,639,948","$1,537,278","$1,697,076",$0
35,Austin Scott,Republican,Georgia,House,"$761,878","$646,701","$781,706",$0
36,Ayanna Pressley,Democratic,Massachusetts,House,"$1,242,476","$1,323,871","$419,642",$0
37,Barbara Lee,Democratic,California,House,"$1,881,840","$1,932,642","$159,572",$0
38,Barry Loudermilk,Republican,Georgia,House,"$717,298","$695,877","$394,252",$0
39,Barry Moore,Republican,Alabama,House,"$790,735","$319,509","$472,664",$0
40,Ben Cardin,Democratic,Maryland,Senate,"$152,052","$275,498","$1,028,821",$0
41,Ben Cline,Republican,Virginia,House,"$858,890","$806,171","$291,492",$0
42,Ben Ray Luján,Democratic,New Mexico,Senate,"$1,097,555","$559,006","$617,871",$0
43,Ben Sasse,Republican,Nebraska,Senate,"$951,050","$366,607","$2,717,701",$0
44,Bennie Thompson,Democratic,Mississippi,House,"$1,247,753","$871,154","$1,900,146",$0
45,Bernie Sanders,Independent,Vermont,Senate,"$14,074,831","$11,331,428","$9,751,125",$0
46,Beth Van Duyne,Republican,Texas,House,"$3,465,317","$1,883,001","$1,650,726",$0
47,Betty McCollum,Democratic,Minnesota,House,"$1,991,061","$1,825,706","$449,330",$0
48,Bill Cassidy,Republican,Louisiana,Senate,"$1,978,660","$756,703","$2,859,633",$0
49,Bill Foster,Democratic,Illinois,House,"$3,289,974","$2,861,784","$4,164,390","$1,046,178"
50,Bill Hagerty,Republican,Tennessee,Senate,"$2,369,794","$1,505,501","$919,351","$2,125,000"
51,Bill Huizenga,Republican,Michigan,House,"$2,480,390","$2,035,658","$914,429",$0
52,Bill Johnson,Republican,Ohio,House,"$1,534,981","$1,421,054","$972,756",$0
53,Bill Pascrell,Democratic,New Jersey,House,"$1,389,395","$1,048,295","$1,745,484",$0
54,Bill Keating,Democratic,Massachusetts,House,"$620,848","$619,647","$1,505,978",$0
55,Bill Posey,Republican,Florida,House,"$893,757","$466,071","$597,650",$0
56,Billy Long,Republican,Missouri,House,"$1,289,389","$1,697,311","$67,188","$170,000"
57,Blaine Luetkemeyer,Republican,Missouri,House,"$2,370,318","$1,985,221","$2,590,501","$550,000"
58,Blake Moore,Republican,Utah,House,"$1,580,076","$1,037,966","$570,471","$205,951"
59,Bob Casey Jr.,Democratic,Pennsylvania,Senate,"$4,120,442","$2,174,116","$3,197,571",$0
60,Bob Gibbs,Republican,Ohio,House,"$321,762","$529,478","$283,857",$0
