ID,Average Rating,Latitude,Longitude,Person Capacity,Price
47073455,,42.34425,-71.06469,3,
45346226,4.58,42.3502,-71.06754,1,
45449241,4.4,42.34918,-71.06547,1,
5927267,4.45,42.33034,-71.05802,2,
52280623,5.0,42.37005,-71.09154,2,
31057539,4.91,42.35845,-71.06937,3,
19346436,4.44,42.36449,-71.104,2,
16441172,4.82,42.38106,-71.10472,2,
42355564,4.72,42.3218,-71.07452,1,
53105759,4.87,42.36648,-71.09843,1,
6089865,4.67,42.36545,-71.05623,3,
19345857,4.55,42.36633,-71.10434,2,
19911587,4.43,42.36365,-71.10974,2,
30441472,,42.36614,-71.09618,2,
1203031,4.42,42.3656,-71.10097,2,
29806399,4.57,42.37226,-71.0967,2,
49754318,4.55,42.35452,-71.07417,2,
53091351,4.83,42.36452,-71.09844,1,
49024263,4.83,42.35891,-71.06615,3,
31207459,4.51,42.36837,-71.08112,1,
33245746,4.82,42.35885,-71.10467,4,
52277955,,42.36993,-71.09,2,
815639,4.64,42.36695,-71.05601,3,
31085634,4.35,42.37053,-71.08247,1,
29034417,4.8,42.36448,-71.0978,1,
49752174,4.7,42.38728,-71.12012,4,
46984660,4.51,42.3555,-71.06127,4,
12318450,4.9,42.35769,-71.10946,2,
49041122,4.84,42.36609,-71.05423,3,
53462344,4.75,42.35112,-71.06355,2,
19344649,4.47,42.36559,-71.10485,2,
49438714,4.44,42.35389,-71.07589,2,
53933460,,42.3372,-71.1135,4,
12269155,4.86,42.36332,-71.05897,2,
45347651,4.4,42.34964,-71.06768,2,
50341639,4.76,42.34284,-71.07542,2,
51681067,4.85,42.36064,-71.06681,2,
26429034,4.37,42.37195,-71.09204,2,
22265939,4.74,42.36245,-71.1051,2,
22435979,4.63,42.33985,-71.07303,4,
48788842,4.86,42.38294,-71.02026,2,
41740613,,42.34591,-71.0709,4,
19346242,4.38,42.36626,-71.10419,2,
766700,4.38,42.3657,-71.05618,3,
53462366,4.85,42.34997,-71.06523,2,
21406532,4.78,42.36944,-71.11154,3,
20479416,4.76,42.38138,-71.02312,2,
45786202,4.88,42.34546,-71.09699,2,
