OBJECTID,Postal,Lat,Lng,Type,ISO3,REGION
12,"Mongla (Chalna),Bangladesh",22.488900000000000,89.595799999999900,Bulk,BGD,South Asia
19,"Suape (Recife),Brazil",-8.055555556000000,-34.891111109999900,General,BRA,Latin America & Caribbean
20,"PecΘm (near Fortaleza),Brazil",-3.533611000000000,-38.785833000000000,General,BRA,Latin America & Caribbean
23,"Ponta da Madeira,Brazil",-2.565000000000000,-44.369999999999900,Bulk,BRA,Latin America & Caribbean
24,"Ponta do Ubu,Brazil",-20.788499999999900,-40.573700000000000,Bulk,BRA,Latin America & Caribbean
41,"Puerto Prodeco,Colombia",11.069476000000000,-74.215606000000000,Bulk,COL,Latin America & Caribbean
46,"San Pedro,Cote d'Ivoire",4.738764000000000,-6.618750000000000,General,CIV,Sub-Saharan Africa
47,"Abidjan,Cote d'Ivoire",5.289240000000000,-4.011183000000000,General,CIV,Sub-Saharan Africa
51,"Haina Port,Dominican Republic",18.419934999999900,-70.015768000000000,General,DOM,Latin America & Caribbean
63,"Puerto Quetzal,Guatemala",13.921932000000000,-90.793479000000000,General,GTM,Latin America & Caribbean
74,"Jawaharlal Nehru,India",18.949947100000000,72.949817000000000,General,IND,South Asia
80,"Mormugao,India",15.413885000000000,73.791802000000000,Bulk,IND,South Asia
82,"Trincomalee,Sri Lanka",8.563199000000000,81.199733999999900,Bulk,LKA,South Asia
89,"Pulau Laut,Indonesia",-3.292189000000000,116.147801000000000,Bulk,IDN,East Asia & Pacific
117,"Port Qasim,Pakistan",24.774781000000000,67.329521999999900,General,PAK,South Asia
122,"Port Lae,Papua New Guinea",-6.741055000000000,146.985433000000000,General,PNG,East Asia & Pacific
124,"San Nicholas,Peru",-15.258332999999900,-75.239722000000000,Bulk,PER,Latin America & Caribbean
132,"Gen Santos,Philippines",6.093587000000000,125.156790999999000,General,PHL,East Asia & Pacific
138,"Pointe Noir,Republic of Congo",-4.788838000000000,11.828873000000000,General,COG,Sub-Saharan Africa
152,"Ngqura,South Africa",-33.806725000000000,25.682251000000000,General,ZAF,Sub-Saharan Africa
165,"Yuzhny,Ukraine",46.649510999999900,31.018937000000000,General,UKR,Europe & Central Asia
166,"Illychevsk,Ukraine",46.329355999999900,30.663816999999900,Bulk,UKR,Europe & Central Asia
173,"Cai Mep,Vietnam",10.538983999999900,107.030956000000000,General,VNM,East Asia & Pacific
175,"Bin Minh,Vietnam",10.028922999999900,105.819655000000000,Bulk,VNM,East Asia & Pacific
103,"Manzanillo,Mexico",19.116949999999900,-104.342140000000000,General,MEX,Latin America & Caribbean
102,"Lazaro Cardenas,Mexico",17.970660000000000,-102.221240000000000,General,MEX,Latin America & Caribbean
104,"Altamira,Mexico",22.392150000000000,-97.938670000000000,General,MEX,Latin America & Caribbean
105,"Veracruz,Mexico",19.180949999999900,-96.142899999999900,General,MEX,Latin America & Caribbean
55,"Acajutla,El Salvador",13.592779999999900,-89.827500000000000,General,SLV,Latin America & Caribbean
62,"Puerto Barrios,Guatemala",15.727779999999900,-88.594440000000000,General,GTM,Latin America & Caribbean
61,"Santo Tomas de Castilla,Guatemala",15.599810000000000,-88.570189999999900,General,GTM,Latin America & Caribbean
67,"Puerto Cortes,Honduras",15.825620000000000,-87.929680000000000,General,HND,Latin America & Caribbean
114,"Corinto,Nicaragua",12.482500000000000,-87.173040000000000,General,NIC,Latin America & Caribbean
45,"Caldera,Costa Rica",9.933190000000000,-84.720579999999900,General,CRI,Latin America & Caribbean
44,"Puerto Limon,Costa Rica",9.990739999999990,-83.035960000000000,General,CRI,Latin America & Caribbean
