,Name,Year,Tv Certificate,Duration per episode,Genre,Ratings,Actor/Actress,Votes
0,Andor,2022– ,TV-14 , 40 min ," Action, Adventure, Drama",8.4," Diego Luna, Kyle Soller, Stellan Skarsgård, Genevieve O'Reilly"," 82,474"
1,The Peripheral,2022– ,TV-MA ,," Drama, Mystery, Sci-Fi",8.0," Chloë Grace Moretz, Gary Carr, Jack Reynor, JJ Feild"," 34,768"
2,The Walking Dead,2010–2022,TV-MA , 44 min ," Drama, Horror, Thriller",8.1," Andrew Lincoln, Norman Reedus, Melissa McBride, Lauren Cohan"," 988,666"
3,Criminal Minds,2005– ,TV-14 , 42 min ," Crime, Drama, Mystery",8.1," Kirsten Vangsness, Matthew Gray Gubler, A.J. Cook, Joe Mantegna"," 198,262"
4,Breaking Bad,2008–2013,TV-MA , 49 min ," Crime, Drama, Thriller",9.5," Bryan Cranston, Aaron Paul, Anna Gunn, Betsy Brandt"," 1,872,005"
5,Dark,2017–2020,TV-MA , 60 min ," Crime, Drama, Mystery",8.7," Louis Hofmann, Karoline Eichhorn, Lisa Vicari, Maja Schöne"," 384,702"
6,Manifest,2018– ,TV-14 , 43 min ," Drama, Mystery, Sci-Fi",7.1," Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise"," 66,158"
7,Stranger Things,2016– ,TV-14 , 51 min ," Drama, Fantasy, Horror",8.7," Millie Bobby Brown, Finn Wolfhard, Winona Ryder, David Harbour"," 1,179,168"
8,Guillermo del Toro's Cabinet of Curiosities,2022– ,TV-MA , 60 min ," Drama, Horror, Mystery",7.1," Lize Johnston, Kevin Keppy, Kate Micucci, F. Murray Abraham"," 33,660"
9,Echo 3,2022– ,TV-MA , 49 min ," Action, Drama, Thriller",6.6," Michiel Huisman, Luke Evans, Jessica Ann Collins, James Udom"," 1,333"
10,The Handmaid's Tale,2017– ,TV-MA , 60 min ," Drama, Sci-Fi, Thriller",8.4," Elisabeth Moss, Yvonne Strahovski, Ann Dowd, O-T Fagbenle"," 236,928"
11,American Horror Story,2011– ,TV-MA , 60 min ," Drama, Horror, Sci-Fi",8.0," Lady Gaga, Kathy Bates, Angela Bassett, Sarah Paulson"," 319,580"
12,Chainsaw Man,2022– ,TV-MA , 25 min ," Animation, Action, Adventure",8.8," Kikunosuke Toya, Ryan Colt Levy, Tomori Kusunoki, Shogo Sakata"," 13,975"
13,Supernatural,2005–2020,TV-14 , 44 min ," Drama, Fantasy, Horror",8.4," Jared Padalecki, Jensen Ackles, Jim Beaver, Misha Collins"," 445,557"
14,You,2018– ,TV-MA , 45 min ," Crime, Drama, Romance",7.7," Penn Badgley, Victoria Pedretti, Ambyr Childers, Elizabeth Lail"," 240,183"
15,Slow Horses,2022– ,TV-MA ,," Drama, Thriller",7.8," Gary Oldman, Jack Lowden, Kristin Scott Thomas, Saskia Reeves"," 24,881"
